year,generation,avg trip duration,max trip duration,min trip duration,total trips
2018,Post War,374.7810218978102,2302,115,137
2018,Boomer,576.6558560292561,422339,61,10391
2018,Gen X,817.6859573574204,571578,61,38084
2018,Millenial,551.1569855511535,1037896,61,68656
2018,Gen Z,3475.3207126948773,272334,74,449
2019,Post War,809.5521348314606,572979,61,26700
2019,Boomer,839.0474962629305,1989122,61,753933
2019,Gen X,1115.0629275875756,2946638,61,2315169
2019,Millenial,891.8857565411743,2616700,61,3638414
2019,Gen Z,1145.7577730368546,2160198,61,272802
2020,Post War,845.1314299291173,403565,61,25253
2020,Boomer,993.8148888824372,3260646,61,585551
2020,Gen X,1510.3560833192412,3786187,61,2010580
2020,Millenial,1191.6033785750674,3522382,61,3297840
2020,Gen Z,1604.957796723066,2820164,61,358811
